회사명,거래소코드,회계년도,[U01B951020000]*주당순손익(요약)(IFRS연결)(원),[U01B951020000]*주당순손익(요약)(IFRS)(원),[U01219000]주당순이익(요약)(원),[U01B951020000]*주당순손익(IFRS연결)(원),[U01B951020000]*주당순손익(IFRS)(원),[U01290400]*주당순손익(연결)(원),[U01290400]*주당순손익(원),당기순이익(천원),주당순이익(원),주당순자산(원)
(주)씨앗,103660,2016/12,,,219,,,,219,566305,219,0
(주)씨앗,103660,2017/12,,,-1308,,,,-1308,1575897,604,0
(주)씨앗,103660,2018/12,,,-553,,,,-553,182721,22,0
(주)씨앗,103660,2019/12,,,-550,,,,-550,168086,20,0
(주)씨앗,103660,2020/12,-1,-1001,-1001,-1033,-1001,-1033,-1001,-4158901,-1001,0
(주)씨앗,103660,2021/12,0,-402,-402,0,-402,0,-402,-1385483,-231,0
(주)씨앗,103660,2022/12,0,-82,-82,-90,-82,-90,-82,-494261,-82,0
(주)씨앤에스링크,245450,2016/12,,,-912,,,,-912,-860487,-912,0
(주)씨앤에스링크,245450,2017/12,,,-601,,,,-601,-624661,-601,0
(주)씨앤에스링크,245450,2018/12,,,208,,,,208,216644,208,0
(주)씨앤에스링크,245450,2019/12,,,-1116,,,,-1116,-1763614,-1116,0
(주)씨앤에스링크,245450,2020/12,,,352,,,,352,555908,352,0
(주)씨앤에스링크,245450,2021/12,,,69,,,,69,108702,69,0
(주)씨앤에스링크,245450,2022/12,,,-261,,,,-261,-412588,-261,0
(주)씨엔티드림,286000,2020/12,,,-1224,,,,-1224,-6057116,-1224,0
(주)씨엔티드림,286000,2021/12,,,-680,,,,-680,-3361433,-680,0
(주)씨엔티드림,286000,2022/12,,,-1680,,,,-1680,-7867363,-1680,0
(주)아이오바이오,447690,2022/12,,,-406,,,-406,-406,-1515055,-406,0
(주)아하,102950,2023/03,0,346,346,0,346,0,346,4416992,346,0
(주)안지오랩,251280,2016/12,,,-520,,,,-520,-938952,-520,0
(주)안지오랩,251280,2017/12,,,-840,,,,-840,-1516886,-840,0
(주)안지오랩,251280,2018/12,,-5132,-5132,,-5132,,-5132,-9268573,-5132,0
(주)안지오랩,251280,2019/12,,-4299,-4299,,-4299,,-4299,-8083799,-4299,0
(주)안지오랩,251280,2020/12,,-378,-378,,-378,,-378,-850365,-378,0
(주)안지오랩,251280,2021/12,,-785,-785,,-785,,-785,-2069925,-785,0
(주)안지오랩,251280,2022/12,,-738,-738,,-738,,-738,-2011162,-738,0
(주)엄지하우스,224810,2015/12,,,880,,,,880,2082013,880,0
(주)엄지하우스,224810,2016/12,,-46,-46,,-46,,-46,-176273,-46,0
(주)엄지하우스,224810,2017/12,,656,656,,656,,656,2756325,656,0
(주)엄지하우스,224810,2018/12,,538,538,,538,,538,2260694,538,0
(주)엄지하우스,224810,2019/12,,484,484,,484,,484,2032689,484,0
(주)엄지하우스,224810,2020/12,,841,841,,841,,841,3531347,841,0
(주)엄지하우스,224810,2021/12,,161,161,,161,,161,654990,161,0
(주)엄지하우스,224810,2022/12,,-2379,-2379,,-2379,,-2379,-9655928,-2379,0
(주)에스알바이오텍,270210,2017/12,,,-2504,,,,-2504,-1103138,-2504,0
(주)에스알바이오텍,270210,2018/12,,,-2182,,,,-2182,-1009778,-2182,0
(주)에스알바이오텍,270210,2019/12,,,-1501,,,,-1501,-694530,-1501,0
(주)에스알바이오텍,270210,2020/12,,,-1825,,,,-1825,-1335935,-1825,0
(주)에스알바이오텍,270210,2021/12,,,-676,,,,-676,-545662,-676,0
(주)에스알바이오텍,270210,2022/12,,,-897,,,,-897,-956920,-897,0
(주)에스엘테라퓨틱스,258540,2016/12,,,-2010,,,,-2010,-2105638,-2010,0
(주)에스엘테라퓨틱스,258540,2017/12,,,-3534,,,,-3534,-4335849,-3534,0
(주)에스엘테라퓨틱스,258540,2018/12,,,-2168,,,,-2168,-3212631,-2168,0
(주)에스엘테라퓨틱스,258540,2019/12,,,-3111,,,,-3111,-5255441,-3111,0
(주)에스엘테라퓨틱스,258540,2020/12,,,-2263,,,,-2263,-3864455,-2263,0
(주)에스엘테라퓨틱스,258540,2021/12,,,-1382,,,,-1382,-7096780,-1382,0
(주)에스엘테라퓨틱스,258540,2022/12,,,-381,,,,-381,-2437100,-381,0
(주)에스엠비나,299670,2018/12,,,2229,,,,2229,2429472,2229,0
(주)에스엠비나,299670,2019/12,,464,464,,464,,464,2530103,464,0
(주)에스엠비나,299670,2020/12,,746,746,,746,,746,4065115,746,0
(주)에스엠비나,299670,2021/12,,22,22,,22,,22,119960,22,0
(주)에스엠비나,299670,2022/12,,-568,-568,,-568,,-568,-3095499,-568,0
(주)에스제이켐,217910,2018/12,,,19,,,,19,246242,19,0
