,회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(순금융비용),[U01250010]   이자비용(천원),[U01230000]영업이익(손실)(천원)
209,(주)남성,4270,2017/12,1.9,2.16,3057154.0,5822850.0
210,(주)남성,4270,2018/12,1.15,-0.5,2594600.0,2972765.0
211,(주)남성,4270,2019/12,2.0,-1.91,1199721.0,2402813.0
212,(주)남성,4270,2020/12,1.69,-21.77,1153467.0,1951037.0
213,(주)남성,4270,2021/12,4.06,9.3,1265721.0,5138256.0
214,(주)남성,4270,2022/12,1.79,4.12,2002117.0,3580576.0
215,(주)내츄럴엔도텍,168330,2013/12,999999999.0,999999999.0,0.0,24103694.0
216,(주)내츄럴엔도텍,168330,2014/12,4036.57,999999999.0,6413.0,25886542.0
217,(주)내츄럴엔도텍,168330,2015/12,-784.13,999999999.0,13512.0,-10595159.0
218,(주)내츄럴엔도텍,168330,2016/12,-34.43,-64.64,271474.0,-9347254.0
219,(주)내츄럴엔도텍,168330,2017/12,-1.94,-2.5,2753831.0,-5337960.0
220,(주)내츄럴엔도텍,168330,2018/12,-4.35,-6.8,2227995.0,-9689426.0
221,(주)내츄럴엔도텍,168330,2019/12,-3.35,-5.55,2522455.0,-8440259.0
222,(주)내츄럴엔도텍,168330,2020/12,0.5,0.07,2469701.0,1244551.0
223,(주)내츄럴엔도텍,168330,2021/12,-3.29,-4.1,1044975.0,-3434188.0
224,(주)내츄럴엔도텍,168330,2022/12,-127.96,-410.95,58544.0,-7491140.0
225,(주)네오리진,94860,2012/12,1.27,-3.7,1192483.0,1513894.0
226,(주)네오리진,94860,2013/12,-2.65,-18.89,679636.0,-1799033.0
227,(주)네오리진,94860,2014/12,-8.5,-30.82,684464.0,-5817300.0
228,(주)네오리진,94860,2015/12,-19.24,-30.27,145899.0,-2807608.0
229,(주)네오리진,94860,2016/12,9.47,13.75,85591.0,810733.0
230,(주)네오리진,94860,2017/12,3.26,13.11,68001.0,221865.0
231,(주)네오리진,94860,2018/12,-12.63,-293.13,61076.0,-771579.0
232,(주)네오리진,94860,2019/12,3.22,-86.01,80154.0,258267.0
233,(주)네오리진,94860,2020/12,-31.16,999999999.0,54586.0,-1700861.0
234,(주)네오리진,94860,2021/12,-4.85,-6.41,537105.0,-2605215.0
235,(주)네오리진,94860,2022/12,1.32,12.54,578188.0,763032.0
236,(주)네오셈,253590,2018/12,,,,
237,(주)네오셈,253590,2019/12,-8.33,-26.63,402494.0,-3351213.0
238,(주)네오셈,253590,2020/12,25.93,127.2,312369.0,8100232.0
239,(주)네오셈,253590,2021/12,2.87,8.54,959752.0,2754267.0
240,(주)네오셈,253590,2022/12,3.24,7.78,2284537.0,7406094.0
241,(주)네오이뮨텍,950220,2021/12,-254.04,999999999.0,187802.0,-47709009.0
242,(주)네오이뮨텍,950220,2022/12,-370.3,999999999.0,141374.0,-52350801.0
243,(주)네오크레마,311390,2019/12,4.09,8.04,189961.0,776937.0
244,(주)네오크레마,311390,2020/12,21.13,24.29,146878.0,3104153.0
245,(주)네오크레마,311390,2021/12,16.8,9.76,117227.0,1969439.0
246,(주)네오크레마,311390,2022/12,12.04,999999999.0,128720.0,1550053.0
247,(주)네오티스,85910,2012/12,33.52,999999999.0,116462.0,3904166.0
248,(주)네오티스,85910,2013/12,8.27,160.42,361288.0,2988588.0
249,(주)네오티스,85910,2014/12,6.4,934.85,488932.0,3130358.0
250,(주)네오티스,85910,2015/12,3.97,-21.25,398640.0,1584014.0
251,(주)네오티스,85910,2016/12,5.06,-4.94,402454.0,2035569.0
