회사명,거래소코드,회계년도,종가(원),현재까지 발행한 주식의 총수(주),현재까지 감소한 주식의 총수(주),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),발행주식수(주),발행주식수(주),[U01B840000000]당기순이익(손실)(요약)(IFRS연결)(백만원),[U01C500011300]   당기순이익(총포괄손익)(요약)(IFRS연결)(백만원),[U01D101000000]   당기순손익(요약)(IFRS연결)(백만원),[U01E100099100]   당기순이익(순손실)(요약)(IFRS연결)(백만원),[U01B840000000]당기순이익(손실)(요약)(IFRS)(백만원),[U01C500011300]   당기순이익(총포괄손익)(요약)(IFRS)(백만원),[U01D101000000]   당기순손익(요약)(IFRS)(백만원),[U01E100099100]   당기순이익(순손실)(요약)(IFRS)(백만원),[U01119300]      *당기순이익(요약)(백만원),[U01218800]당기순이익(요약)(백만원),[U01219300]CPA수정후 당기순이익(요약)(백만원),[U01311400]   당기순이익(요약)(백만원),[U01410100]   당기순이익(요약)(백만원),[U01550700]   당기순이익(요약)(백만원),[U01A600000000]자본(*)(요약)(IFRS연결)(백만원),[U01A600000000]자본(*)(IFRS연결)(백만원),[U01A600000000]자본(*)(요약)(IFRS)(백만원),[U01A600000000]자본(*)(IFRS)(천원),[U01119400]자본총계(요약)(천원),[U01160000]자본(*)(연결)(천원),[U01160000]자본(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),[U01410000]영업활동으로 인한 현금흐름(요약)(백만원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(연결)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01B100000000]매출액(수익)(요약)(IFRS연결)(백만원),[U01B100000000]매출액(수익)(요약)(IFRS)(백만원),[U01210000]매출액(요약)(백만원),[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01210000]매출액(영업수익)(*)(천원)
(주)나라소프트,288490,2021/12,,36897000,0,36897000,36897000,36897000,,,,,-2093,-2093,-2093,-2093,-2093,-2093,-2093,-2093,-2093,-2093,,,252,251710,252,,251710,,-1002,-1002,,-1001517,,-1001517,,250,250,,249573,,249573
(주)나라소프트,288490,2022/12,,38147000,0,38147000,38147000,38147000,,,,,-863,-863,-863,-863,-863,-863,-863,-863,-863,-863,,,-361,-360896,-361,,-360896,,235,235,,235225,,235225,,1117,1117,,1116914,,1116914
(주)나라소프트,288490,2022/12,,38147000,0,38147000,38147000,38147000,,,,,-863,-863,-863,-863,-863,-863,-863,-863,-863,-863,,,-361,-360896,-361,,-360896,,235,235,,235225,,235225,,1117,1117,,1116914,,1116914
(주)나우코스,257990,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)나우코스,257990,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)나우코스,257990,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)나우코스,257990,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)나우코스,257990,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)나우코스,257990,2020/12,,7772837,3860242,3912595,3912595,3912595,1854,1844,1854,0,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,5331,5331330,5642,5641590,5642,5331330,5641590,992,677,677,992229,676654,992229,676654,47957,47762,47762,47956928,47761969,47956928,47761969
(주)나우코스,257990,2020/12,,7772837,3860242,3912595,3912595,3912595,1854,1844,1854,0,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,5331,5331330,5642,5641590,5642,5331330,5641590,992,677,677,992229,676654,992229,676654,47957,47762,47762,47956928,47761969,47956928,47761969
(주)나우코스,257990,2021/12,,7772837,3860242,3912595,3912595,3912595,348,338,348,0,85,85,85,85,85,85,85,85,85,85,5900,5900213,5877,5876737,5877,5900213,5876737,20,133,133,20173,133196,20173,133196,45365,42712,42712,45364798,42712313,45364798,42712313
(주)나우코스,257990,2021/12,,7772837,3860242,3912595,3912595,3912595,348,338,348,0,85,85,85,85,85,85,85,85,85,85,5900,5900213,5877,5876737,5877,5900213,5876737,20,133,133,20173,133196,20173,133196,45365,42712,42712,45364798,42712313,45364798,42712313
(주)나우코스,257990,2022/12,,9729134,3860242,5868892,5868892,5868892,-1236,-1246,-1236,0,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,16102,16101602,16001,16000564,16001,16101602,16000564,1542,1281,1281,1542124,1281114,1542124,1281114,42348,41565,41565,42348412,41565340,42348412,41565340
(주)나우코스,257990,2022/12,,9729134,3860242,5868892,5868892,5868892,-1236,-1246,-1236,0,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,16102,16101602,16001,16000564,16001,16101602,16000564,1542,1281,1281,1542124,1281114,1542124,1281114,42348,41565,41565,42348412,41565340,42348412,41565340
(주)노드메이슨,317860,2019/12,,3735058,0,3735058,3735058,3735058,,,,,-641,-641,-641,-641,-641,-641,-641,-641,-641,-641,,,8777,8776724,8777,,8776724,,2030,2030,,2029855,,2029855,,16894,16894,,16894407,,16894407
(주)노드메이슨,317860,2019/12,,3735058,0,3735058,3735058,3735058,,,,,-641,-641,-641,-641,-641,-641,-641,-641,-641,-641,,,8777,8776724,8777,,8776724,,2030,2030,,2029855,,2029855,,16894,16894,,16894407,,16894407
(주)노드메이슨,317860,2020/12,,3758258,0,3758258,3758258,3758258,,,,,1259,1259,1259,1259,1259,1259,1259,1259,1259,1259,,,10042,10041811,10042,,10041811,,910,910,,910288,,910288,,19471,19471,,19470825,,19470825
(주)노드메이슨,317860,2020/12,,3758258,0,3758258,3758258,3758258,,,,,1259,1259,1259,1259,1259,1259,1259,1259,1259,1259,,,10042,10041811,10042,,10041811,,910,910,,910288,,910288,,19471,19471,,19470825,,19470825
(주)노드메이슨,317860,2021/12,,3765258,0,3765258,3765258,3765258,,,,,137,137,137,137,137,137,137,137,137,137,,,10303,10302520,10303,,10302520,,940,940,,939957,,939957,,18631,18631,,18631230,,18631230
(주)노드메이슨,317860,2021/12,,3765258,0,3765258,3765258,3765258,,,,,137,137,137,137,137,137,137,137,137,137,,,10303,10302520,10303,,10302520,,940,940,,939957,,939957,,18631,18631,,18631230,,18631230
(주)노드메이슨,317860,2022/12,,4429715,0,4429715,4429715,4429715,-3243,-2556,-3243,0,-2534,-2534,-2534,-2534,-2534,-2534,-2534,-2534,-2534,-2534,11894,11893893,12599,12598599,12599,11893893,12598599,-1724,-834,-834,-1724137,-834284,-1724137,-834284,16325,15104,15104,16324672,15103694,16324672,15103694
(주)노드메이슨,317860,2022/12,,4429715,0,4429715,4429715,4429715,-3243,-2556,-3243,0,-2534,-2534,-2534,-2534,-2534,-2534,-2534,-2534,-2534,-2534,11894,11893893,12599,12598599,12599,11893893,12598599,-1724,-834,-834,-1724137,-834284,-1724137,-834284,16325,15104,15104,16324672,15103694,16324672,15103694
(주)노브메타파마,229500,2015/12,,5760000,0,5760000,5760000,5760000,,,,,,,,,-497,-497,0,-497,-497,-497,,,,,12067,,12067219,,,-635,,,,-634533,,,1574,,,,1573672
(주)노브메타파마,229500,2015/12,,0,0,0,5760000,5760000,,,,,,,,,-497,-497,0,-497,-497,-497,,,,,12067,,12067219,,,-635,,,,-634533,,,1574,,,,1573672
(주)노브메타파마,229500,2015/12,,5760000,0,5760000,5760000,5760000,,,,,,,,,-497,-497,0,-497,-497,-497,,,,,12067,,12067219,,,-635,,,,-634533,,,1574,,,,1573672
(주)노브메타파마,229500,2016/12,,0,0,0,7776000,7776000,-4126,-4126,-4126,0,-4292,-4292,-4292,-4292,-4292,-4292,-4292,-4292,-4292,-4292,6202,6201725,6037,6036608,6037,6201725,6036608,-3450,-3183,-3183,-3450487,-3183368,-3450487,-3183368,2908,422,422,2907831,421941,2907831,421941
