,회사명,거래소코드,회계년도,부실판단,기업수명주기
358,삼풍관광(주),15203,2014,1.0,쇠퇴기
359,삼한교역상사주식회사,15205,2022,1.0,성숙기
360,일경산업개발(주),15211,2014,1.0,쇠퇴기
361,삼형기업(주),15215,2014,1.0,성숙기
362,삼화비철공업(주),15228,2016,1.0,성장기
363,삼화제분(주),15235,2020,1.0,쇠퇴기
364,(주)케이알엠,15241,2021,1.0,성장기
365,삼흥개발주식회사,15243,2014,1.0,쇠퇴기
366,신아플러스건설주식회사,15262,2014,1.0,쇠퇴기
367,상진개발주식회사,15263,2022,1.0,도입기
368,새턴홀딩스주식회사,15281,2019,1.0,쇠퇴기
369,새한음반(주),15293,2014,1.0,쇠퇴기
370,서광종합개발주식회사,15314,2019,1.0,도입기
371,(주)서광전자,15315,2014,1.0,쇠퇴기
372,에이에프티코리아(주),15317,2016,1.0,쇠퇴기
373,서도산업주식회사,15321,2020,1.0,성장기
374,(주)로얄건설,15333,2016,1.0,쇠퇴기
375,용원건설주식회사,15337,2017,1.0,쇠퇴기
376,주식회사리더스케미컬,15340,2014,1.0,도입기
377,서영정밀주식회사,15342,2019,1.0,성장기
378,(주)서울가든,15344,2014,1.0,도입기
379,서울금속공업(주),15350,2021,1.0,쇠퇴기
380,서울낫소(주),15352,2014,1.0,쇠퇴기
381,서울화인테크주식회사,15381,2017,1.0,쇠퇴기
382,서원건설주식회사,15384,2019,1.0,도입기
383,에스더블유팜주식회사,15386,2014,1.0,도입기
384,서진화학(주),15403,2021,1.0,쇠퇴기
385,석미개발주식회사,15417,2016,1.0,쇠퇴기
386,석미건설주식회사,15418,2022,1.0,도입기
387,(주)석천레미콘,15423,2014,1.0,성숙기
388,선광건설주식회사,15425,2014,1.0,성숙기
389,선주토건주식회사,15445,2014,1.0,쇠퇴기
390,섬강산업주식회사,15456,2019,1.0,쇠퇴기
391,성도건설산업(주),15469,2021,1.0,쇠퇴기
392,(주)성도,15472,2014,1.0,쇠퇴기
393,성우건설주식회사,15508,2018,1.0,성장기
394,(주)스웨코,15535,2020,1.0,성숙기
395,성원제강(주),15536,2014,1.0,쇠퇴기
396,(주)유니원,15544,2014,1.0,쇠퇴기
397,성일종합건설주식회사,15546,2019,1.0,도입기
398,성일산업주식회사,15547,2014,1.0,도입기
399,성진수산주식회사,15563,2018,1.0,성숙기
400,성창약품주식회사,15572,2014,1.0,성숙기
401,(주)성화,15582,2016,1.0,성숙기
402,(주)냉장인터불고,15591,2017,1.0,성장기
403,(주)이스트밸리,15619,2016,1.0,도입기
404,세안홀딩스(주),15640,2017,1.0,도입기
405,(주)에스더블유글로벌,15650,2014,1.0,성숙기
406,세우테크노산업(주),15653,2014,1.0,쇠퇴기
407,세창상사주식회사,15701,2014,1.0,도입기
408,센추리개발(주),15721,2014,1.0,성장기
409,(주)소신홀딩스,15733,2014,1.0,성숙기
410,송강산업주식회사,15739,2020,1.0,도입기
411,송원물산(주),15744,2018,1.0,성장기
412,송학제지주식회사,15752,2016,1.0,성숙기
413,수림종합개발(주),15755,2014,1.0,성장기
414,에스피엘(주),15758,2021,1.0,쇠퇴기
415,수원여객운수주식회사,15764,2020,1.0,도입기
416,주식회사수협유통,15770,2014,1.0,성장기
417,쉬프트정보통신(주),15776,2021,1.0,성장기
418,(주)스마트넷테크놀로지,15783,2017,1.0,도입기
419,스마트전자주식회사,15786,2014,1.0,성숙기
420,(주)시그너스개발,15812,2018,1.0,도입기
421,(주)시그너스정공,15813,2021,1.0,성숙기
422,(주)시퍼스파이프라인,15827,2019,1.0,도입기
423,신동아종합건설(주),15863,2014,1.0,쇠퇴기
424,(주)신라명과,15869,2016,1.0,성숙기
425,신명종합건설주식회사,15873,2014,1.0,성숙기
426,신성교통주식회사,15880,2014,1.0,성장기
427,(주)신세계와이비에스,15894,2015,1.0,쇠퇴기
428,신세계음향공업주식회사,15895,2014,1.0,도입기
429,신안개발주식회사,15913,2014,1.0,도입기
430,신안건설산업(주),15914,2017,1.0,쇠퇴기
431,신안관광개발주식회사,15916,2014,1.0,도입기
432,신영스타킹주식회사,15935,2018,1.0,쇠퇴기
433,신우건설산업(주),15941,2020,1.0,쇠퇴기
434,(주)신우농수산,15944,2014,1.0,성숙기
435,신우프레스(주),15947,2019,1.0,쇠퇴기
436,에스더불유아이주식회사,15952,2018,1.0,쇠퇴기
437,(주)신원엔에스,15955,2014,1.0,쇠퇴기
438,신원합섬주식회사,15961,2014,1.0,성숙기
439,(주)신일,15965,2021,1.0,성장기
440,신일기업주식회사,15969,2017,1.0,성숙기
441,신일산업주식회사,15972,2014,1.0,도입기
442,(주)에스피일레멕,15981,2020,1.0,성숙기
443,주식회사지유기건,15992,2020,1.0,도입기
444,(주)비와이씨마트,16002,2018,1.0,쇠퇴기
445,신한발브공업주식회사,16003,2014,1.0,성숙기
446,신한산업(주),16006,2020,1.0,쇠퇴기
447,(주)신한종합건축사사무소,16019,2015,1.0,쇠퇴기
448,신한화섬주식회사,16027,2015,1.0,쇠퇴기
449,(주)신화사,16038,2014,1.0,쇠퇴기
450,신화종합건설(주),16045,2020,1.0,도입기
451,신화철강(주),16046,2018,1.0,도입기
452,신흥정보통신(주),16055,2018,1.0,쇠퇴기
453,쓰리에이프린팅(주),16091,2014,1.0,성숙기
454,씨카코리아주식회사,16123,2016,1.0,성숙기
455,주식회사우주홀딩스,16132,2014,1.0,도입기
456,아모제푸드시스템(주),16141,2016,1.0,쇠퇴기
457,아세아약품(주),16157,2015,1.0,쇠퇴기
458,(주)아세아유니온,16159,2014,1.0,쇠퇴기
459,아이씨이아이우방주식회사,16187,2014,1.0,도입기
460,주식회사아이엘티,16197,2022,1.0,도입기
461,주식회사아이피스,16216,2017,1.0,성숙기
462,(주)아주하이텍,16222,2015,1.0,쇠퇴기
463,아코디스(주),16231,2014,1.0,쇠퇴기
464,동화종합건설(주),16238,2014,1.0,도입기
465,(주)아프로텍,16241,2020,1.0,도입기
466,(주)안다미로,16248,2014,1.0,쇠퇴기
467,안양역사(주),16258,2020,1.0,쇠퇴기
468,(주)알켄즈,16267,2014,1.0,성장기
469,양지화학주식회사,16302,2014,1.0,쇠퇴기
470,(주)알케이에프앤,16321,2014,1.0,도입기
471,에이비씨상사(주),16365,2016,1.0,도입기
472,에이스투자(주),16375,2014,1.0,도입기
473,엘디산업개발주식회사,16435,2017,1.0,쇠퇴기
474,여명약품주식회사,16470,2014,1.0,도입기
475,연경전자주식회사,16475,2018,1.0,성숙기
476,연세산업(주),16478,2021,1.0,쇠퇴기
477,연전개발주식회사,16484,2014,1.0,도입기
478,(주)연흥개발,16490,2015,1.0,쇠퇴기
479,영남주물공업주식회사,16504,2014,1.0,쇠퇴기
480,영도건설산업(주),16507,2016,1.0,쇠퇴기
481,(주)와이디아이,16511,2019,1.0,쇠퇴기
482,영림목재주식회사,16515,2014,1.0,도입기
483,(주)와이엘씨,16517,2014,1.0,도입기
484,(주)지엔에스,16528,2014,1.0,쇠퇴기
485,주식회사영텍스타일,16529,2014,1.0,쇠퇴기
486,영신여객(주),16533,2019,1.0,쇠퇴기
487,주식회사영신종합건설,16535,2014,1.0,쇠퇴기
488,영일기업주식회사,16548,2014,1.0,성장기
489,영풍전자주식회사,16582,2015,1.0,도입기
490,영화엔지니어링,16586,2015,1.0,성숙기
491,주식회사삼양컴텍,16604,2017,1.0,도입기
492,오리엔트화학(주),16605,2015,1.0,성숙기
493,주식회사오성자원,16619,2014,1.0,성숙기
494,오성제지주식회사,16620,2014,1.0,도입기
495,(주)온라인카고,16643,2014,1.0,쇠퇴기
496,와이엠건설(주),16654,2016,1.0,성숙기
497,(주)와이제이코퍼레이션,16663,2017,1.0,성장기
498,일송개발(주),16670,2014,1.0,도입기
499,용원개발주식회사,16673,2014,1.0,도입기
500,용창산업(주),16677,2019,1.0,도입기
501,우남케미칼해운주식회사,16686,2018,1.0,쇠퇴기
502,우림개발주식회사,16705,2014,1.0,성숙기
503,우진산업주식회사,16718,2016,1.0,도입기
504,(주)티씨씨강판,16719,2018,1.0,성숙기
505,(주)에임하이글로벌,16721,2020,1.0,성숙기
506,(주)우성염직,16729,2017,1.0,성장기
