,회사명,거래소코드,회계년도,GAAP(개별) 기업수명주기,GAAP(연결) 기업수명주기,IFRS(개별) 기업수명주기,IFRS(개별)(비교) 기업수명주기,IFRS(연결) 기업수명주기,IFRS(연결)(비교) 기업수명주기
8244,(주)흥국에프엔비,189980,2022/12,성장기,성장기,성장기,,성장기,
8245,(주)힘스,238490,2012/12,성장기,,성장기,성장기,,
8246,(주)힘스,238490,2013/12,,,,,,
8247,(주)힘스,238490,2014/12,성숙기,,성숙기,성숙기,,
8248,(주)힘스,238490,2015/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
8249,(주)힘스,238490,2016/12,성장기,,성장기,성장기,,
8250,(주)힘스,238490,2017/12,성장기,,성장기,성장기,,
8251,(주)힘스,238490,2018/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
8252,(주)힘스,238490,2019/12,,,,,,
8253,(주)힘스,238490,2020/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8254,(주)힘스,238490,2021/12,,,,,,
8255,(주)힘스,238490,2022/12,도입기,도입기,도입기,,도입기,
8256,KD(주),44180,2012/12,도입기,도입기,도입기,도입기,도입기,도입기
8257,KD(주),44180,2013/12,성장기,도입기,성장기,성장기,도입기,도입기
8258,KD(주),44180,2014/12,도입기,도입기,도입기,도입기,도입기,도입기
8259,KD(주),44180,2015/12,성장기,성장기,성장기,성장기,성장기,성장기
8260,KD(주),44180,2016/12,도입기,도입기,도입기,도입기,도입기,도입기
8261,KD(주),44180,2017/12,도입기,도입기,도입기,도입기,도입기,도입기
8262,KD(주),44180,2018/12,성장기,쇠퇴기,성장기,성장기,쇠퇴기,쇠퇴기
8263,KD(주),44180,2019/12,도입기,도입기,도입기,도입기,도입기,도입기
8264,KD(주),44180,2020/12,도입기,도입기,도입기,도입기,도입기,도입기
8265,KD(주),44180,2021/12,도입기,도입기,도입기,도입기,도입기,도입기
8266,KD(주),44180,2022/12,도입기,도입기,도입기,,도입기,
8267,감성코퍼레이션(주),36620,2012/12,,,,,,
8268,감성코퍼레이션(주),36620,2013/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
8269,감성코퍼레이션(주),36620,2014/12,도입기,,도입기,도입기,,
8270,감성코퍼레이션(주),36620,2015/12,,,,,,
8271,감성코퍼레이션(주),36620,2016/12,도입기,,도입기,도입기,,
