회사명,거래소코드,회계년도,발행주식수(주),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),발행주식수(주),주당순이익(원),주당순자산(원),종가(원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(연결)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(천원),당기순이익(천원),[U01B840000000]당기순이익(손실)(IFRS연결)(천원),[U01B840000000]당기순이익(손실)(IFRS)(천원),[U01290200]당기순이익(순손실)(연결)(천원),[U01290200]당기순이익(순손실)(천원),[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01A600000000]자본(*)(IFRS연결)(천원),[U01A600000000]자본(*)(IFRS)(천원),[U01160000]자본(*)(연결)(천원),[U01160000]자본(*)(천원)
(주)강원에너지,114190,2013/12,12666826,12666826,12666826,323,0,2205,,16975955,,16975955,3922000,,3922208,,3922208,,50660659,,50660659,,45877155,,45877155
(주)강원에너지,114190,2013/12,12666826,12666826,12666826,323,0,2205,,16975955,,16975955,3922000,,3922208,,3922208,,50660659,,50660659,,45877155,,45877155
(주)강원에너지,114190,2014/12,14390962,14390962,14390962,80,0,2105,,-14600421,,-14600421,1123194,,1123194,,1123194,,51481321,,51481321,,50445491,,50445491
(주)강원에너지,114190,2014/12,14390962,0,14390962,80,0,2105,,-14600421,,-14600421,1123194,,1123194,,1123194,,51481321,,51481321,,50445491,,50445491
(주)강원에너지,114190,2014/12,14390962,14390962,14390962,80,0,2105,,-14600421,,-14600421,1123194,,1123194,,1123194,,51481321,,51481321,,50445491,,50445491
(주)강원에너지,114190,2015/12,15253030,15253030,15253030,58,0,2870,9499050,18555072,9499050,18555072,885783,102482,885783,102482,885783,46188664,48852892,46188664,48852892,56583901,54880924,56583901,54880924
(주)강원에너지,114190,2015/12,15253030,15253030,15253030,58,0,2870,9499050,18555072,9499050,18555072,885783,102482,885783,102482,885783,46188664,48852892,46188664,48852892,56583901,54880924,56583901,54880924
(주)강원에너지,114190,2015/12,15253030,0,15253030,58,0,2870,9499050,18555072,9499050,18555072,885783,102482,885783,102482,885783,46188664,48852892,46188664,48852892,56583901,54880924,56583901,54880924
(주)강원에너지,114190,2016/12,15253030,0,15253030,-50,0,2740,-15783876,-18630100,-15783876,-18630100,-762058,-1125371,-762058,-1125371,-762058,42287473,44448760,42287473,44448760,55088690,53746356,55088690,53746356
(주)강원에너지,114190,2016/12,15253030,15253030,15253030,-50,0,2740,-15783876,-18630100,-15783876,-18630100,-762058,-1125371,-762058,-1125371,-762058,42287473,44448760,42287473,44448760,55088690,53746356,55088690,53746356
(주)강원에너지,114190,2016/12,15253030,15253030,15253030,-50,0,2740,-15783876,-18630100,-15783876,-18630100,-762058,-1125371,-762058,-1125371,-762058,42287473,44448760,42287473,44448760,55088690,53746356,55088690,53746356
(주)강원에너지,114190,2017/12,15253030,15253030,15253030,-412,0,2490,-3706818,-4605588,-3706818,-4605588,-6291307,-6451819,-6291307,-6451819,-6291307,82034829,83113029,82034829,83113029,48303010,47117020,48303010,47117020
