회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS),감사의견코드(IFRS)(백만원)
(주)노바텍,285490,2020/12,1414.85,9367,UQ
(주)노바텍,285490,2021/12,1028.56,879,UQ
(주)노바텍,285490,2022/12,149.35,29767,UQ
(주)노블엠앤비,106520,2012/12,13.46,8091,UQ
(주)노블엠앤비,106520,2013/12,19.14,20755,UQ
(주)노블엠앤비,106520,2014/12,1.27,7109,UQ
(주)노블엠앤비,106520,2015/12,-4.16,-5552,UQ
(주)노블엠앤비,106520,2016/12,-6.84,-7051,UQ
(주)노블엠앤비,106520,2017/12,-4.65,-8649,UQ
(주)노블엠앤비,106520,2018/12,-3.42,293,UQ
(주)노블엠앤비,106520,2019/12,1.22,3878,UQ
(주)노블엠앤비,106520,2020/12,-4.32,-5963,UQ
(주)노블엠앤비,106520,2021/12,-2.39,-7208,UQ
(주)노블엠앤비,106520,2022/12,-0.66,2078,DU
(주)녹원씨엔아이,065560,2012/12,-12.85,-5139,UQ
(주)녹원씨엔아이,065560,2013/12,-9.86,-3695,UQ
(주)녹원씨엔아이,065560,2014/12,-5,-7575,QU
(주)녹원씨엔아이,065560,2015/12,1.94,-5961,QU
(주)녹원씨엔아이,065560,2016/12,-3.23,-1820,QU
(주)녹원씨엔아이,065560,2017/12,-1.09,-1702,UQ
(주)녹원씨엔아이,065560,2018/12,2.26,2422,UQ
(주)녹원씨엔아이,065560,2019/12,3.02,5194,UQ
(주)녹원씨엔아이,065560,2020/12,-0.52,-176,UQ
(주)녹원씨엔아이,065560,2021/12,-1.63,201,UQ
(주)녹원씨엔아이,065560,2022/12,-1.26,7381,UQ
(주)누리플랜,069140,2012/12,-2.01,1817,UQ
(주)누리플랜,069140,2013/12,-3.78,560,UQ
(주)누리플랜,069140,2014/12,-7.07,-1256,UQ
(주)누리플랜,069140,2015/12,2.97,-702,UQ
(주)누리플랜,069140,2016/12,2.68,-2111,UQ
(주)누리플랜,069140,2017/12,1.74,545,UQ
(주)누리플랜,069140,2018/12,-3.36,-1088,UQ
(주)누리플랜,069140,2019/12,-1.57,-383,UQ
(주)누리플랜,069140,2020/12,0.33,1274,UQ
(주)누리플랜,069140,2021/12,0.58,-1732,UQ
(주)누리플랜,069140,2022/12,-12.36,2766,UQ
(주)누보,332290,2019/12,,,UQ
(주)누보,332290,2020/12,,,UQ
(주)누보,332290,2021/12,,,UQ
(주)누보,332290,2022/12,-2.24,-13898,UQ
(주)뉴로메카,348340,2022/12,-27.01,-8082,UQ
(주)뉴보텍,060260,2012/12,1.06,1118,UQ
(주)뉴보텍,060260,2013/12,1.11,3716,UQ
(주)뉴보텍,060260,2014/12,-0.72,-538,UQ
(주)뉴보텍,060260,2015/12,6.79,4631,UQ
(주)뉴보텍,060260,2016/12,7.02,1213,UQ
(주)뉴보텍,060260,2017/12,-4.56,-2522,UQ
(주)뉴보텍,060260,2018/12,0.82,-993,UQ
(주)뉴보텍,060260,2019/12,4.51,4538,UQ
(주)뉴보텍,060260,2020/12,-9.82,-2110,UQ
(주)뉴보텍,060260,2021/12,-1.74,-2305,UQ
(주)뉴보텍,060260,2022/12,0.72,110,UQ
(주)뉴인텍,012340,2012/12,-1.84,3058,UQ
(주)뉴인텍,012340,2013/12,-1.26,-402,UQ
(주)뉴인텍,012340,2014/12,-2.15,-2562,UQ
(주)뉴인텍,012340,2015/12,0.6,3711,UQ
(주)뉴인텍,012340,2016/12,-3.08,-1347,UQ
(주)뉴인텍,012340,2017/12,-1.83,1064,UQ
(주)뉴인텍,012340,2018/12,-2.14,2458,UQ
(주)뉴인텍,012340,2019/12,1.42,-289,UQ
(주)뉴인텍,012340,2020/12,2.67,1273,UQ
(주)뉴인텍,012340,2021/12,-0.22,-1940,UQ
(주)뉴인텍,012340,2022/12,-9.32,-3092,UQ
(주)뉴트리,270870,2018/12,23.36,7974,UQ
(주)뉴트리,270870,2019/12,920,6618,UQ
(주)뉴트리,270870,2020/12,103.19,4279,UQ
(주)뉴트리,270870,2021/12,31.16,18578,UQ
(주)뉴트리,270870,2022/12,4.38,8589,UQ
(주)뉴파워프라즈마,144960,2016/12,14.54,7980,UQ
(주)뉴파워프라즈마,144960,2017/12,140.05,30080,UQ
(주)뉴파워프라즈마,144960,2018/12,129.26,6554,UQ
(주)뉴파워프라즈마,144960,2019/12,42.22,5172,UQ
(주)뉴파워프라즈마,144960,2020/12,31.36,14899,UQ
(주)뉴파워프라즈마,144960,2021/12,6.99,24585,UQ
(주)뉴파워프라즈마,144960,2022/12,11.67,13258,UQ
(주)다보링크,340360,2019/12,,,UQ
(주)다보링크,340360,2020/12,,,UQ
(주)다보링크,340360,2021/12,0.9,-3649,UQ
(주)다보링크,340360,2022/12,-5.78,-1656,UQ
(주)다산네트웍스,039560,2012/12,6.16,1916,UQ
(주)다산네트웍스,039560,2013/12,5.04,-5555,UQ
(주)다산네트웍스,039560,2014/12,1.69,-21308,UQ
(주)다산네트웍스,039560,2015/12,0.07,1816,UQ
(주)다산네트웍스,039560,2016/12,-0.13,-19812,UQ
(주)다산네트웍스,039560,2017/12,0.19,14241,UQ
(주)다산네트웍스,039560,2018/12,0.76,8736,UQ
(주)다산네트웍스,039560,2019/12,3.85,-3467,UQ
(주)다산네트웍스,039560,2020/12,0.27,18102,UQ
(주)다산네트웍스,039560,2021/12,2.67,7294,UQ
(주)다산네트웍스,039560,2022/12,-10.2,-2758,UQ
(주)다이나믹디자인,145210,2015/12,5.86,7131,UQ
(주)다이나믹디자인,145210,2016/12,999999999,9054,UQ
(주)다이나믹디자인,145210,2017/12,-0.19,1079,UQ
(주)다이나믹디자인,145210,2018/12,-2.88,6455,DU
(주)다이나믹디자인,145210,2019/12,-1.02,-1143,UQ
(주)다이나믹디자인,145210,2020/12,-2.66,-14897,UQ
(주)다이나믹디자인,145210,2021/12,-4.77,-6,UQ
(주)다이나믹디자인,145210,2022/12,-2.77,-14851,UQ
(주)대림제지,017650,2012/12,23.85,24898,UQ
(주)대림제지,017650,2013/12,35.98,992,UQ
(주)대림제지,017650,2014/12,86.15,7118,UQ
(주)대림제지,017650,2015/12,-44.32,1724,UQ
(주)대림제지,017650,2016/12,239.14,3684,UQ
(주)대림제지,017650,2017/12,42.72,4013,UQ
(주)대림제지,017650,2018/12,10.77,12692,UQ
(주)대림제지,017650,2019/12,4.6,16565,UQ
(주)대림제지,017650,2020/12,42.13,28774,UQ
(주)대림제지,017650,2021/12,122.33,24840,UQ
(주)대림제지,017650,2022/12,132.96,31409,UQ
(주)대성미생물연구소,036480,2012/12,1.18,2333,UQ
(주)대성미생물연구소,036480,2013/12,10.5,1890,UQ
(주)대성미생물연구소,036480,2014/12,18.57,3834,UQ
(주)대성미생물연구소,036480,2015/12,94.9,7663,UQ
(주)대성미생물연구소,036480,2016/12,141.74,3521,UQ
(주)대성미생물연구소,036480,2017/12,77.35,1681,UQ
(주)대성미생물연구소,036480,2018/12,136.12,3136,UQ
(주)대성미생물연구소,036480,2019/12,228.76,2315,UQ
(주)대성미생물연구소,036480,2020/12,195.94,3236,UQ
(주)대성미생물연구소,036480,2021/12,1.21,2203,UQ
(주)대성미생물연구소,036480,2022/12,-0.64,1155,UQ
(주)대성파인텍,104040,2012/12,17.31,2643,UQ
(주)대성파인텍,104040,2013/12,40.57,4660,UQ
(주)대성파인텍,104040,2014/12,23.31,2538,UQ
(주)대성파인텍,104040,2015/12,21.55,4861,UQ
(주)대성파인텍,104040,2016/12,8.76,6016,UQ
(주)대성파인텍,104040,2017/12,5.97,5667,UQ
(주)대성파인텍,104040,2018/12,0.87,1251,UQ
(주)대성파인텍,104040,2019/12,0.35,2661,UQ
(주)대성파인텍,104040,2020/12,1.48,1187,UQ
(주)대성파인텍,104040,2021/12,2.59,2374,UQ
(주)대성파인텍,104040,2022/12,-3.48,-585,UQ
(주)대성하이텍,129920,2022/12,3.99,-5188,UQ
(주)대유,290380,2018/12,999999999,4307,UQ
(주)대유,290380,2019/12,303.7,6004,UQ
(주)대유,290380,2020/12,9.16,6076,UQ
(주)대유,290380,2021/12,2.32,3873,UQ
